E,Zc,d0,Wt,Wr,E0J,betaJ,tcJ,F0J,E0Tn,betaTn,tcTn,F0Tn
1634325.51730540,-4517.65337823,7.34398370,237507.58546053,-1166.08657400,221169.07196155,0.00058950,-0.00048601,782.49595655,223813.24879122,0.00010000,-0.00047842,787.01927301
1225773.08108764,-4541.81950276,7.29257858,253451.85309974,3528.06639154,197682.75408758,0.00019218,-0.00047656,843.22135594,210342.95632563,0.00010001,-0.00043989,779.99945974
206176.82120306,-4736.40742529,7.26651487,224246.75983938,11731.87547740,99285.33050714,0.00010002,-0.00032894,716.84949471,100329.59709149,0.00010000,-0.00031157,727.82189089
192692.17821337,-4720.24254665,7.22988835,211335.57741049,6898.86156853,96305.64958483,0.00010741,-0.00027712,775.66568746,97100.65176424,0.00010006,-0.00026180,786.02102006
1648611.61751016,-4569.26358484,7.25352115,225594.55579316,-6921.14274450,217571.94697994,0.00013243,-0.00050629,768.13565600,219206.06128384,0.00010000,-0.00049837,773.86989335
162226.59558884,-4819.17261080,7.15345297,226554.34052306,32672.41131317,63426.74137347,0.03695992,-0.00025087,767.25144403,81496.07438496,0.01030878,-0.00019172,778.68950773
229193.21493730,-4799.87298345,7.19498812,234279.79259486,12431.78612887,106785.42360968,0.00011366,-0.00027729,767.70854011,107712.27830027,0.00010000,-0.00026275,777.68566301
1006344.90917274,-4633.00951321,7.31761582,240624.28103855,2286.43333737,187540.41818740,0.00053619,-0.00045308,779.30742972,190391.32256811,0.00010000,-0.00044286,777.19101613
333973.91858320,-4744.48718643,7.10706779,237173.34345165,12764.75004472,126087.63420007,0.00014704,-0.00031785,758.94310259,127196.41519691,0.00010000,-0.00030559,767.99886256
468659.41086374,-4751.36831613,7.16020692,259040.03997305,1985.42078651,146376.19256405,0.00023047,-0.00037894,741.87374286,147835.32449279,0.00010000,-0.00036695,750.57100495
926204.51321935,-4678.98154992,7.34236228,206814.91370107,-10838.48321294,180764.08525756,0.00071944,-0.00046219,772.98666757,183512.69458161,0.00010000,-0.00045212,775.12721028
1144583.68690786,-4682.67970274,7.26224893,218662.91303098,-7454.35471254,195791.66535352,0.00097461,-0.00043649,806.44129101,203399.23394974,0.00010248,-0.00041756,773.98294276
1873091.28897388,-4671.11231160,7.22221077,217060.83267474,-13195.34149395,227201.82988016,0.00050232,-0.00047590,759.10577771,229648.62716817,0.00010000,-0.00046837,762.12440490
1532354.88575164,-4691.54057319,7.14465656,239466.37583345,-15472.20728344,219492.88563564,0.00164068,-0.00047631,762.23742547,224448.18642161,0.00010000,-0.00046655,761.04912344
1918012.57260730,-4697.51869979,7.19192677,211830.66728828,-17479.00785759,221649.00470537,0.00030558,-0.00053619,758.71415723,223837.24222154,0.00010000,-0.00052774,763.27914191
2173127.16486610,-4703.76708638,7.21390447,196782.14602952,-13104.36920280,215588.55963458,0.00074595,-0.00056407,752.01405243,218801.21467467,0.00010000,-0.00055478,752.82010757
1621499.67617900,-4727.52060533,7.12162005,222133.13296565,-5934.48880576,216304.01276898,0.00151922,-0.00043291,753.60589258,220692.22886605,0.00010000,-0.00042561,750.72568897
1638667.69706780,-4742.74390707,7.11838277,227505.15109624,-21009.50036864,209980.80155243,0.00010339,-0.00056585,747.54510602,211721.66408603,0.00010000,-0.00055622,756.70116054
1920210.11254471,-4748.91975349,7.13125645,199414.04808509,-11339.17289282,215941.99636249,0.00266416,-0.00047583,762.76031224,222730.52735524,0.00010000,-0.00046687,749.94526129
1346057.56578674,-4775.02199140,7.03015202,243913.25534142,-6291.63505604,209592.85708001,0.00060914,-0.00046673,763.77750961,212118.25556883,0.00010000,-0.00046108,752.07651436
1585678.64389858,-4783.67519566,7.04162432,241387.64660049,-14918.88920728,226328.35569144,0.00038582,-0.00047299,742.93109403,228307.50491821,0.00010000,-0.00046546,750.42062153
1561210.59106617,-4794.97894038,7.07900355,227307.28899150,-9471.12072390,218153.79318329,0.00082289,-0.00045861,747.54901450,221123.31118093,0.00010000,-0.00045192,748.88739781
1648294.65299895,-4807.57899410,7.03763299,226949.43524710,-12471.25053936,228571.81989415,0.00034458,-0.00044453,740.34763726,230663.29156940,0.00010000,-0.00043832,743.42653092
1295610.51935748,-4829.08933957,6.97653396,256303.08683431,-5016.06710012,197657.10279491,0.00083212,-0.00047634,813.51616174,213201.59207738,0.00010000,-0.00043683,744.52022947
1640942.01846846,-4832.55739778,7.11032201,227654.50098701,-6571.16680923,215083.51606218,0.00024217,-0.00054014,748.25389611,217166.05107164,0.00010000,-0.00053176,752.82673204
1920303.21684710,-4840.09134732,7.14739948,210747.07015765,-13685.44121568,222009.85866234,0.00170867,-0.00049466,763.91718308,226924.76810872,0.00010000,-0.00048660,756.10173768
1334714.01802018,-4868.56593993,7.00236893,255277.22192966,-11355.46803305,224025.16484004,0.00123571,-0.00041135,707.23461857,213233.23901592,0.00010000,-0.00044133,747.35799771
1306939.07227679,-4881.39515822,7.04432278,244099.67978739,-4079.74297941,209063.69507149,0.00079757,-0.00049782,732.88705347,205875.14766615,0.00010000,-0.00050085,750.37218205
1444797.41496038,-4889.65271200,7.07670110,224899.81057902,-8174.87180867,190143.41316690,0.00112622,-0.00052734,845.11441481,212885.64163679,0.00013368,-0.00046574,749.23377191
1634091.95007691,-4897.40061141,7.11893983,212081.23786156,1012.71598819,215613.35424736,0.00039230,-0.00043759,752.04504548,217742.76699421,0.00010000,-0.00043186,752.11905376
1456157.43989057,-4914.93100588,7.10492235,222816.63743764,-1655.19761258,213870.28982472,0.00053468,-0.00043056,744.19133892,215804.78875169,0.00010000,-0.00042395,750.28330907
1473939.32070322,-4929.04239295,7.06069027,239479.35206011,-925.57104499,212396.35502391,0.00168710,-0.00049715,750.74680519,217484.17701303,0.00010000,-0.00048671,748.47940504
1353720.47946634,-4945.58217293,7.06685318,244228.44675508,4901.63704219,201616.15371003,0.00044685,-0.00048267,825.07338275,218819.92398818,0.00010340,-0.00043819,752.31333107
1418042.68913871,-4959.11188904,7.10039540,241985.57973676,-15287.15226430,210991.57092602,0.00019019,-0.00050280,766.34839484,212395.95343050,0.00010000,-0.00049780,758.68933001
1603795.76271720,-4968.96328853,7.07920551,233922.92582295,-15854.62925478,222963.94513937,0.00010139,-0.00046692,743.36565793,224320.67274190,0.00010000,-0.00045986,751.01086162
2225562.18109247,-4962.55630022,7.13108528,196142.13338385,-11880.80888017,219721.53577154,0.00062362,-0.00057458,747.99747843,222729.18207520,0.00010000,-0.00056549,749.45413088
1404286.19295034,-4970.06233383,7.02609672,234747.38061843,-546.49263807,211435.22315643,0.00177716,-0.00046700,768.93221945,217137.48703640,0.00010000,-0.00045774,749.76833960
1616886.95293938,-4956.87035678,7.01470942,223244.77612395,-16028.42473235,222921.59314113,0.00013346,-0.00047555,738.27370134,224464.85277088,0.00010000,-0.00046825,744.46158459
1796122.76201307,-4943.07309403,7.02593659,224440.26814787,-12236.88198905,228779.92309263,0.00023550,-0.00048873,738.86144995,230714.59022210,0.00010000,-0.00048100,745.21902645
1513953.99918191,-4939.63465315,6.97187378,240670.25744270,-4075.91113399,226243.02285521,0.00066687,-0.00046169,724.76067074,228653.44635094,0.00010000,-0.00045429,732.15630622
2103816.84825926,-4916.55088706,7.07384160,208200.79056824,-7802.90073830,223968.23567092,0.00059808,-0.00056923,730.52585440,224267.29234116,0.00010000,-0.00056262,741.93741748
1901290.52968123,-4909.59934718,7.04916611,199483.41477007,-6923.41313454,216636.39016916,0.00065994,-0.00049631,736.66093590,219287.06457761,0.00010000,-0.00048859,738.32544559
1896955.12244613,-4900.92232546,7.05366834,193126.06577347,-4765.85657612,205892.25296954,0.00092175,-0.00052615,740.41645142,208787.49683534,0.00010000,-0.00051884,737.91034786
1830246.85773723,-4890.19883482,7.02720516,194109.82657101,-8018.62337208,210994.47119506,0.00105424,-0.00050142,759.58917352,216795.85369663,0.00010239,-0.00048863,737.27176511
1854919.54988158,-4880.65286907,6.95508105,203149.69263908,-7198.86205949,221151.91402669,0.00046249,-0.00049176,728.25904721,223556.98465813,0.00010000,-0.00048397,730.87730965
1731470.39845190,-4873.28239598,6.93010663,215421.17503801,-4660.71216213,218723.88118127,0.00072143,-0.00046842,718.99733772,220939.87074567,0.00010000,-0.00046191,725.42473891
1548216.98704387,-4869.42900242,6.87689420,232799.81750819,-11521.90927301,224503.82195312,0.00014864,-0.00044691,719.80304556,225913.10246892,0.00010000,-0.00044048,724.86394916
1501660.02456561,-4861.40939746,6.86838436,227493.75517662,-19340.84300314,211433.66563901,0.00137449,-0.00048420,724.82287132,215625.68155736,0.00010000,-0.00047476,724.45931114
1447649.97269776,-4849.89917992,6.84073869,221508.90217178,-9323.66527070,204064.45827620,0.00086045,-0.00053421,721.38192139,207349.60104441,0.00010000,-0.00052424,723.32564350
1532179.78275204,-4838.74513213,6.79595908,242679.71047143,-1569.22522144,221762.56861586,0.00021570,-0.00045404,709.60582816,223347.84997108,0.00010000,-0.00044768,713.98798972
1611205.05203682,-4828.48848372,6.74259606,229686.27612670,-21605.80444808,223518.13855978,0.00024904,-0.00047280,706.51843877,225260.03626105,0.00010000,-0.00046575,709.40558649
1537846.88883637,-4817.41181618,6.80090693,228896.62288369,-6879.45220996,212184.09187033,0.00100389,-0.00050279,710.47755168,215833.33096364,0.00010000,-0.00049330,710.83272819
1705668.08660978,-4802.59669213,6.79162554,218513.69536518,-9648.77900038,220101.04223087,0.00248226,-0.00048635,720.10238809,226914.33793681,0.00010000,-0.00047625,711.25547271
1335555.31507979,-4802.42392993,6.74695282,239136.83378027,-6830.71506754,222043.56320461,0.00147013,-0.00042212,687.87785212,211901.09553821,0.00010000,-0.00045255,712.32080820
1511596.12899469,-4788.69614253,6.71997981,242257.66565120,-7848.97527832,222000.02554239,0.00240653,-0.00045042,709.62432781,228549.18796106,0.00010001,-0.00044052,705.47545369
1421505.14969304,-4778.60305643,6.69682358,236359.99715828,6529.17892933,200331.11689562,0.00044760,-0.00047959,777.47278900,217945.57584724,0.00010188,-0.00043396,701.22518100
1476887.74159111,-4768.35729780,6.62586227,230149.30865081,-13321.02245011,216218.43850831,0.00010466,-0.00042994,687.38339470,217374.66729829,0.00010000,-0.00042357,693.73517487
1721846.54637574,-4752.11827698,6.66677784,214968.97198215,-4899.45408557,219187.31144595,0.00103372,-0.00047188,682.14065574,221832.95277798,0.00010000,-0.00046531,688.98317796
1368222.88904032,-4748.72622809,6.63041681,230444.75205179,416.76601791,185342.63944393,0.00172698,-0.00052644,783.85085133,207828.15507894,0.00010000,-0.00046533,695.16504973
363118.23695477,-4885.16792676,6.60297137,247429.43355686,5880.77753972,136901.39001283,0.00015125,-0.00029782,696.68217317,138134.81991366,0.00010000,-0.00028649,704.77597978
391974.95029153,-4858.47633952,6.58333714,248208.24994838,4674.02523823,133678.39462618,0.00046441,-0.00039051,674.91921538,134302.07877815,0.00010000,-0.00037908,685.39166408
345207.78877672,-4858.20963923,6.57285897,255579.19518076,28761.78240880,137751.07132640,0.00067613,-0.00026597,681.87555779,139814.59661109,0.00010000,-0.00025343,690.13272736
1322213.25329758,-4711.38498429,6.60146194,245250.69430359,-980.14374890,210423.55977323,0.00088754,-0.00046193,704.06577239,213860.69643726,0.00010002,-0.00045577,688.66708131
