E,Zc,d0,Wt,Wr,E0J,betaJ,tcJ,F0J,E0Tn,betaTn,tcTn,F0Tn
0.54242593,0.99998425,0.99996735,0.30709885,0.83548508,0.01767929,0.00024796,0.63758288,0.99999225,0.01538308,0.00000000,0.61533124,0.99996946
0.50778365,0.99998838,0.99997029,0.31164171,0.84127037,0.01857417,0.00075662,0.64366135,0.99998010,0.01571185,0.00000000,0.61775966,0.99996983
0.67317456,0.99999384,0.99997155,0.30583919,0.84193813,0.02071291,0.00347935,0.64053236,0.99994838,0.01669864,0.00000000,0.61515922,0.99996909
0.71674956,1.00000000,0.99996764,0.30250612,0.83815206,0.02163250,0.00001984,0.64198603,0.99993698,0.01711594,0.00000001,0.61579693,0.99996471
0.75769046,0.99999791,0.99997151,0.28963968,0.83412660,0.02072905,0.00024021,0.63783974,0.99994003,0.01645260,0.00000000,0.61372894,0.99996661
0.55454843,0.99998884,0.99996335,0.30332013,0.83458717,0.01811086,0.00188869,0.63865880,0.99998665,0.01574451,0.00000000,0.61570965,0.99996336
0.53249281,0.99998360,0.99996769,0.30423951,0.83834751,0.01766988,0.00529745,0.63945851,0.99998759,0.01555799,0.00000000,0.61617188,0.99996776
0.56077209,0.99997878,0.99996540,0.30784152,0.83980433,0.01808038,0.00480913,0.63847529,0.99998849,0.01604031,0.00000000,0.61586773,0.99996455
0.56768767,0.99997402,0.99996714,0.30795399,0.83761416,0.01819894,0.00043694,0.63583247,0.99999201,0.01607997,0.00000001,0.61479581,0.99996807
0.52571002,0.99996748,0.99996641,0.31395475,0.84054239,0.01983911,0.00218098,0.64259802,0.99995034,0.01590349,0.00000001,0.61609648,0.99996572
0.52444682,0.99996202,0.99996361,0.31591309,0.83870950,0.01952551,0.00139570,0.64044304,0.99994158,0.01556347,0.00000001,0.61498115,0.99995964
0.64484094,0.99995884,0.99996675,0.30330006,0.83444058,0.02036308,0.00025932,0.63848236,0.99993993,0.01615688,0.00000000,0.61404492,0.99996522
0.66381613,0.99995495,0.99996320,0.29851717,0.83538761,0.02096305,0.00273238,0.64114196,0.99993657,0.01682398,0.00000001,0.61544021,0.99995893
