E,Zc,d0,Wt,Wr,E0J,betaJ,tcJ,F0J,E0Tn,betaTn,tcTn,F0Tn
0.97288291,-4749.45204262,6.03933349,227818.66563321,-5632.31991072,0.99034565,0.00147898,-0.00047968,603.95552133,0.98925238,0.00010001,-0.00047175,598.02038598
0.95736118,-4749.45204262,6.03933349,240586.42250012,-5850.27792108,0.98477778,0.00231609,-0.00046678,603.95552133,0.98466509,0.00010000,-0.00045573,598.02038598
0.99560522,-4749.45204262,6.03933349,222957.59209201,-6493.57296013,0.99400586,0.00232743,-0.00049065,603.95552133,0.99605033,0.00010000,-0.00048005,598.02038598
0.99563081,-4749.45204262,6.03933349,219293.04909440,-10321.28863351,0.98859564,0.00028197,-0.00054133,603.95552133,0.98500173,0.00010000,-0.00053319,598.02038598
1.00000000,-4749.45204262,6.03933349,210738.65810649,-13111.53353999,0.99638606,0.00074714,-0.00056505,603.95552133,0.99615011,0.00010000,-0.00055491,598.02038598
0.96719638,-4749.45204262,6.03933349,234157.55738644,2924.66267950,0.97200203,0.00040045,-0.00057454,603.95552133,0.98507312,0.00010000,-0.00050517,598.02038598
0.99046135,-4749.45204262,6.03933349,232813.11310504,-17667.72040294,0.99915469,0.00035406,-0.00046254,603.95552133,0.99838765,0.00010000,-0.00045607,598.02038598
0.99572027,-4749.45204262,6.03933349,232962.77324138,-15908.84579742,1.00000000,0.00010733,-0.00050123,603.95552133,1.00000000,0.00010000,-0.00049330,598.02038598
1.00000000,-4749.45204262,6.03933349,201556.88334884,-12501.72105879,1.00000000,0.00012325,-0.00049429,603.95552133,1.00000000,0.00010000,-0.00048820,598.02038598
0.94754979,-4749.45204262,6.03933349,245478.01433338,1684.50045286,0.97918790,0.00044212,-0.00049208,603.95552133,0.98608653,0.00010032,-0.00045181,598.02038598
0.95729837,-4749.45204262,6.03933349,245478.01433338,-7709.39072895,0.99269327,0.00060301,-0.00052410,603.95552133,0.98520527,0.00010000,-0.00052590,598.02038598
0.97593816,-4749.45204262,6.03933349,234272.09842672,-13095.02730936,0.99319634,0.00113512,-0.00049040,603.95552133,0.99230427,0.00010000,-0.00048198,598.02038598
1.00000000,-4749.45204262,6.03933349,223283.19700710,-17667.72040294,0.99845166,0.00115820,-0.00049451,603.95552133,0.99807310,0.00010000,-0.00048845,598.02038598
0.96061716,-4749.45204262,6.03933349,245478.01433338,-12670.63474165,0.99362781,0.00074847,-0.00046215,603.95552133,0.99198356,0.00010000,-0.00045770,598.02038598
0.99548763,-4749.45204262,6.03933349,226576.84971586,-17667.72040294,0.99523375,0.00166963,-0.00051776,603.95552133,0.99586100,0.00010000,-0.00050914,598.02038598
0.96915717,-4749.45204262,6.03933349,240639.16218915,-10745.73624838,0.98867256,0.00187017,-0.00046941,603.95552133,0.98790130,0.00010000,-0.00045973,598.02038598
0.96117474,-4749.45204262,6.03933349,235525.38309935,-17667.72040294,0.97026723,0.00022148,-0.00055315,603.95552133,0.98011447,0.00010000,-0.00049453,598.02038598
0.95091935,-4749.45204262,6.03933349,242405.69051892,-2105.46939795,0.97814922,0.00047067,-0.00046319,603.95552133,0.98445523,0.00010000,-0.00042466,598.02038598
0.99473256,-4749.45204262,6.03933349,233617.57402713,-271.30618138,0.99554608,0.00180453,-0.00050950,603.95552133,0.99695820,0.00010000,-0.00049948,598.02038598
1.00000000,-4749.45204262,6.03933349,228569.54279630,-10670.58422769,1.00000000,0.00010972,-0.00048799,603.95552133,1.00000000,0.00010000,-0.00048113,598.02038598
1.00000000,-4749.45204262,6.03933349,209082.89169252,-17667.72040294,0.99567041,0.00021768,-0.00054935,603.95552133,0.99391126,0.00010000,-0.00054063,598.02038598
0.96460935,-4749.45204262,6.03933349,229802.38686192,-17667.72040294,0.97411702,0.00102527,-0.00053723,603.95552133,0.98488137,0.00010000,-0.00048364,598.02038598
0.95830273,-4749.45204262,6.03933349,231194.80647660,-10133.74487953,0.97018226,0.00269522,-0.00052539,603.95552133,0.98243515,0.00010000,-0.00047034,598.02038598
0.96634361,-4749.45204262,6.03933349,236650.17339308,-6132.27066431,0.97384817,0.00245599,-0.00053995,603.95552133,0.98870197,0.00010000,-0.00047909,598.02038598
0.96824825,-4749.45204262,6.03933349,236820.51629554,-12148.06107750,0.97489150,0.00031405,-0.00057906,603.95552133,0.98920893,0.00010000,-0.00050993,598.02038598
0.95631063,-4749.45204262,6.03933349,245478.01433338,-4105.03465211,0.98866583,0.00116846,-0.00047893,603.95552133,0.98694366,0.00010000,-0.00047251,598.02038598
0.95593680,-4749.45204262,6.03933349,245478.01433338,-9139.45713570,0.98612246,0.00078375,-0.00051082,603.95552133,0.98250749,0.00010000,-0.00050460,598.02038598
