Zc,E0Tn,betaTn
-3824.04955822,264366.19387417,0.00010015
-3830.45522464,261035.38733642,0.00010010
-3831.29502392,254989.96057983,0.00010000
-3836.34776996,255685.26803122,0.00010000
-3844.74861403,255401.36938728,0.00010306
-3842.28326513,234312.86048798,0.00010000
-3845.20256134,257887.43520737,0.00010000
-3851.61190112,256658.49885112,0.00010000
-3888.63029486,201288.39994354,0.00010000
-3855.29900425,215030.59272080,0.00010000
-4011.39115030,135674.45446718,0.00011518
-4238.07207667,53690.63559938,0.00010041
-4287.07415378,41458.81210593,0.00015675
-4654.52730846,4407.43093760,0.19614701
-4670.17343488,25282.40464829,0.00010000
-4800.40274669,4920.51073691,0.11184177
-4654.69387333,14983.19826925,0.00991988
-4144.89241360,78836.46888078,0.00010880
-4154.42026817,72480.89467821,0.00010000
-4273.89658601,48236.90436836,0.00010000
-4048.90930080,132827.87929472,0.00010000
-4059.99216602,125055.54534832,0.00010000
-4066.98746409,121008.49218201,0.00010000
-4239.81376591,61506.51332766,0.00010000
-4260.39393174,52319.94682297,0.00010695
-4097.79191146,114026.48719169,0.00010000
-3919.52197012,214693.05583649,0.00010000
-3915.41305868,244888.22247587,0.00010000
-3911.21287640,264823.28413185,0.00010000
-3955.39506997,185808.86611815,0.00010000
-3972.46847696,211143.99517529,0.00010000
-3928.34200777,251798.95531510,0.00010000
-3934.68966427,249739.60330625,0.00010000
-3947.95133218,235391.75230589,0.00010000
-3961.86054042,211747.05058168,0.00010000
-3968.97266113,198157.29373835,0.00010000
-4487.48705574,30853.43656126,0.01957430
-4833.65559909,4270.85775276,0.12876794
-5298.66913699,15589.62661383,0.00010000
-5130.93156892,14107.03721162,0.00010660
-4019.39711296,205229.94221269,0.00010000
-3958.52015912,251512.97528212,0.00010000
-3966.32263229,259793.27575168,0.00010000
-4956.09281585,14791.13858703,0.00010000
-4923.04590572,11570.07725022,0.00010000
-3975.85499190,257682.81865931,0.00010000
-3981.06150082,256950.50335410,0.00010000
-3984.23252974,250032.81144175,0.00010000
-3986.12151310,224641.26256890,0.00010000
-3991.61465319,262001.57528989,0.00010000
-3993.21604968,245660.67326651,0.00010000
-3994.02987087,259893.84229134,0.00010000
-3993.16242292,255175.61960602,0.00010000
-3989.23928343,253294.19112541,0.00010000
-3990.87866365,251869.24473917,0.00010000
-3985.98076292,258409.59819269,0.00010000
-4489.24545368,29382.57372129,0.00010000
-3976.79895442,260342.45037883,0.00010000
-3980.39068296,236939.09354707,0.00010000
-3981.60728188,248035.40350464,0.00010000
-3978.10934872,230558.27267272,0.00010000
-3979.70959427,249993.45626692,0.00010000
-3972.99828313,229534.91466674,0.00010000
-5383.71978809,13231.21800053,0.00023854
-4503.73222093,38993.17872358,0.00010000
-4699.27792363,7296.46801317,0.09043415
-4010.39262957,174946.52414011,0.00010000
-3956.59195898,248634.85861953,0.00010002
-3954.15173369,250386.12908322,0.00010000
-3961.92074888,248362.52957096,0.00010000
-3969.60028245,240053.66870626,0.00010000
-3945.99283001,249254.68976811,0.00011722
-3949.85842370,235043.72923594,0.00010000
-3956.22700755,232857.49009438,0.00010000
-4149.36935253,84790.47885005,0.00010000
-4088.86248313,131674.18568456,0.00010000
-4055.82638505,156083.30753666,0.00010000
-4055.15877751,148199.09519118,0.00010000
-4215.79804651,64349.12252198,0.00010000
-4135.24508549,93781.79945471,0.00010001
-4111.70886923,105843.64247096,0.00010000
-4251.71317815,59005.93913974,0.00010000
-4256.68704841,59738.85763707,0.00011816
-4139.31163894,92588.69121436,0.00010001
-4203.33998721,46518.84347189,0.03672999
-4511.40091420,16321.20656361,0.02337500
-4642.43323779,18123.80010154,0.00010212
-4656.60059546,24900.15976732,0.00020795
-4375.26679780,37510.26452463,0.00435584
-4384.76007283,34720.73057236,0.00010000
-4277.07118635,21352.72037548,0.07381735
-4243.95506781,50861.51646836,0.00010000
-4631.02905563,18455.42833970,0.00010002
-4491.16726280,22936.15175509,0.00010000
-4067.59933629,85666.79394259,0.00016686
-3897.48054344,189979.91400036,0.00010000
-4067.42730985,116230.80291081,0.00011701
-3882.77142271,240252.10294955,0.00010000
-3883.39503635,256703.65829913,0.00010000
-3877.96397583,260267.62559421,0.00010000
-3874.70025493,259040.66441710,0.00010769
-3887.86628939,231227.68958721,0.00010000
-3870.66670401,262625.35345254,0.00010003
-3866.83598151,259034.04673570,0.00010000
-3868.61823027,258212.59057311,0.00010000
-3861.95337440,257253.86731534,0.00010000
-3875.21779671,236495.11702733,0.00010000
-3858.28012736,255819.72207879,0.00010000
-3856.31944474,250017.79999862,0.00010000
-3856.05154491,239722.84033908,0.00010000
-3849.95047002,251780.56164851,0.00010000
-3853.80200945,237276.85682838,0.00010000
-4138.47583986,25079.55505182,0.01849044
-3843.61800194,251703.52681698,0.00010471
