Zc,E0Tn,betaTn
-4043.64279589,241594.97205025,0.00010000
-4040.83413872,252479.20892556,0.00010000
-4052.62557833,254350.80480400,0.00010000
-4062.61126623,251882.55017404,0.00010000
-4056.76835131,248088.59571636,0.00010597
-4047.73247666,252292.52106922,0.00010000
-4038.32689766,252666.48648533,0.00010000
-4035.14691371,248419.70422348,0.00010000
-4029.82878234,244162.88406200,0.00010006
-4013.51989995,264835.74558620,0.00010000
-4013.54354330,244661.37543666,0.00010000
-4003.77993106,260531.78453504,0.00010000
-4007.10970699,249252.21386792,0.00010000
-3996.69848596,249379.45248885,0.00010000
-3992.53684246,246927.40014179,0.00010000
-3981.33683552,256693.18368020,0.00010000
-3977.82971723,254191.85609353,0.00010000
-3962.83943077,266738.87267771,0.00010000
-3967.05768931,243435.11532529,0.00010000
-3958.09991143,253786.03231992,0.00010000
-3945.94584504,254080.37154484,0.00010000
-3944.93294538,250093.97526931,0.00010000
-3944.48950988,252421.02062899,0.00010001
-3931.32876267,255032.99417273,0.00010000
-3917.56878793,265891.12857501,0.00010000
-3914.80967948,255913.72615616,0.00010000
-3911.07356670,247421.17917658,0.00010268
-3907.14373390,243186.36881073,0.00010000
-3902.84265240,246588.63804199,0.00010305
-3892.12664504,247459.12185706,0.00010000
-3887.19055409,252783.21624711,0.00010110
-3879.72454884,257747.08859977,0.00010000
-3880.11664859,243281.87798016,0.00010000
-3866.40892082,250875.59183673,0.00010000
-3862.99127897,244236.16855769,0.00010000
-3856.77315856,245264.89033251,0.00010000
-3846.45742323,246051.67107469,0.00010000
-3839.58981106,255616.76980417,0.00011729
-3824.67361305,263435.02141188,0.00010000
-3829.84494603,254123.46237508,0.00010538
-3822.21896605,248451.64557929,0.00010000
-3814.13635104,256822.83654378,0.00010074
-3806.03584132,262418.99034904,0.00010000
-3803.70683372,246014.99147279,0.00010000
-3791.76854120,260630.83379612,0.00010001
-3791.49457013,257623.67569909,0.00010001
-3784.66998011,247916.23475251,0.00010000
-3774.11373854,260117.94372189,0.00010062
-3765.47759867,247149.78179521,0.00010000
-3757.93947842,251104.32042543,0.00010000
-3751.57459959,251322.09137666,0.00010000
-3750.12234369,245760.37004580,0.00010000
-3736.13862375,251102.66888403,0.00010000
-3739.87300385,249760.74815320,0.00010000
-3728.84126895,250812.30157950,0.00010000
-3720.35590926,252954.18901902,0.00010121
-3716.70786612,249539.27811136,0.00010000
-3707.27795170,254328.02189733,0.00010000
-3692.13446179,257118.81056320,0.00010000
-3699.13475968,253324.99535723,0.00010045
-3687.86390920,246581.95108301,0.00010000
-3682.83602815,253613.74583233,0.00010000
-3675.78001967,252723.42571558,0.00010000
-3671.85536368,260585.83438270,0.00011813
-3665.28512072,257645.79104986,0.00010000
-3657.68126623,252541.74477216,0.00010000
-3643.79087012,259062.29766439,0.00010000
-3650.43027944,257563.62026255,0.00010000
-3659.84796974,261616.67014302,0.00010000
-3664.61839875,258705.31039333,0.00010000
-3679.71802936,251056.86350347,0.00010000
-3684.55156692,245264.28058448,0.00010000
-3694.56852480,251326.25616679,0.00010000
-3701.16352745,260145.10271577,0.00010002
-3698.41714872,264250.80552825,0.00010000
-3717.58981368,254098.13623308,0.00010000
-3721.09444649,255560.78237919,0.00010001
-3724.08212175,258587.53002229,0.00010000
-3734.78658685,249158.68022949,0.00010000
-3744.22075372,246544.54751619,0.00010000
-3749.08250791,259918.43596223,0.00010000
-3759.11394918,248840.78314379,0.00010000
-3764.54647605,253937.94435211,0.00012899
-3775.22785839,248739.98997537,0.00010000
-3782.12666197,253300.72360494,0.00010000
-3798.42717477,243915.29992377,0.00010000
-3793.27706676,252780.35136491,0.00010000
-3798.93737977,259149.05350308,0.00010002
-3811.96859390,258809.34456547,0.00010001
-3819.10485605,251884.33969674,0.00010519
-3822.61047881,255477.97064630,0.00010000
-3821.94241628,255835.37968707,0.00010000
-3839.60828285,259827.75205644,0.00010001
-3845.76248923,252440.87512839,0.00010000
-3857.58457236,247499.37195035,0.00010000
-3860.17357320,244104.33128475,0.00010001
-3864.18949831,254291.66060190,0.00010000
-3872.37729135,255799.77490443,0.00010000
-3875.54415169,262162.74171348,0.00010000
-3885.98607846,255944.96120388,0.00010000
-3894.87013657,250125.86615550,0.00010000
-3907.23587395,253266.17013460,0.00010587
-3913.71974632,242066.98135431,0.00010000
-3915.28582258,249443.73779065,0.00010000
-3925.70442363,256671.22195486,0.00010000
-3938.23595374,257011.58897733,0.00010001
-3932.40453817,267575.62235245,0.00010000
-3947.34388708,255576.46716246,0.00010000
-3956.30623317,251654.94771256,0.00010140
-3962.78421284,262400.37066247,0.00010002
-3970.20576027,256507.30309575,0.00010000
-3979.87247151,253258.02276769,0.00010000
-3979.95066973,256568.70096665,0.00010000
-3994.62575178,245872.57874827,0.00010000
-3992.66509857,261371.22428115,0.00010000
-4005.47460029,247914.71338478,0.00010000
-4001.15423848,262172.37060516,0.00010000
-4022.10170332,256099.10046157,0.00010004
-4029.28658035,254243.21147539,0.00010000
-4033.46602158,249976.45271927,0.00010000
-4042.80509392,245751.84192281,0.00010000
-4049.41892854,252752.21427357,0.00010105
-4049.33798518,261547.47290630,0.00010000
-4066.63406341,256546.60238684,0.00010121
-4067.83915659,251646.96049862,0.00010000
-4078.95303512,249569.08012506,0.00010000
-4088.91032412,260484.57046548,0.00010000
